store,upc,week,move,price,profit,descrip,custcoun,Brand
5,1200000492,33,529,.01316022,51.69,"CAFFEINE FREE PEPSI",16043,12000
5,1200000496,33,478,.01316022,51.69,"DIET PEPSI CAFFEINE",16043,12000
5,3828100261,33,98,.02083333,41.6,"DOM ORANGE SODA",16043,38281
5,4900000634,33,39,.03875,22.94,"COCA-COLA CLASSIC CA",16043,49000
5,4900000639,33,1049,.01316022,51.69,"COCA-COLA CLASSIC",16043,49000
5,4900000658,33,25,.03875,22.94,"COKE DIET CANS",16043,49000
5,5490000060,33,222,.01316022,51.69,"DR PEPPER",16043,54900
5,1200000230,34,127,.02351096,15.09,"PEPSI COLA N/R",16163,12000
5,1200000394,34,62,.02101563,11.15,"PEPSI COLA N.R. BOTT",16163,12000
5,1200000396,34,55,.02101563,11.15,"DIET PEPSI N.R. BOTT",16163,12000
5,1200000492,34,26,.02498963,20.12,"CAFFEINE FREE PEPSI",16163,12000
5,1200000496,34,54,.02498963,20.12,"DIET PEPSI CAFFEINE",16163,12000
5,3828100261,34,122,.02083333,41.6,"DOM ORANGE SODA",16163,38281
5,4900000634,34,38,.03875,22.94,"COCA-COLA CLASSIC CA",16163,49000
5,4900000639,34,129,.02351096,15.09,"COCA-COLA CLASSIC",16163,49000
5,4900000658,34,27,.03875,22.94,"COKE DIET CANS",16163,49000
5,5490000060,34,18,.02498963,20.12,"DR PEPPER",16163,54900
5,1200000230,35,152,.02351096,15.09,"PEPSI COLA N/R",17545,12000
